Asset,Decision,ReStory fit / office role,Triangles,UVs,Material variants needed
Assets/80s_Office/Prefabs/Exterior/ExteriorBlock5.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,7236,True,MI_ConcreteSlab; MI_Windows
Assets/80s_Office/Prefabs/Exterior/ExteriorBlock_1m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,44,True,MI_ConcreteSlab
Assets/80s_Office/Prefabs/Exterior/ExteriorBlock_3m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,44,True,MI_ConcreteSlab
Assets/80s_Office/Prefabs/Exterior/ExteriorBlock_9m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,44,True,MI_ConcreteSlab
Assets/80s_Office/Prefabs/Exterior/ExteriorBlock_Pillar.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,28,True,MI_Concrete
Assets/80s_Office/Prefabs/Exterior/ExteriorBlock_Square.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,12,True,MI_Concrete
Assets/80s_Office/Prefabs/FakeVolumetricCone.prefab,Not selected,Baked/fake lighting conflicts with dynamic day lighting,352,True,MI_FakeVolumetrics
Assets/80s_Office/Prefabs/Furniture/BookShelf.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,1196,True,MI_BookShelf
Assets/80s_Office/Prefabs/Furniture/Carpet.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",130,True,MI_Carpet_Rect
Assets/80s_Office/Prefabs/Furniture/Cupboard.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",52,True,MI_Wood_DarkBrown
Assets/80s_Office/Prefabs/Furniture/Cupboard_Tall.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",98,True,MI_BookShelf
Assets/80s_Office/Prefabs/Furniture/FileCabinets.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",1454,True,MI_FileCabinets
Assets/80s_Office/Prefabs/Furniture/LoungeChair.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",1516,True,MI_LoungeChair
Assets/80s_Office/Prefabs/Furniture/LoungeTable.prefab,Selected,Waiting area; use shared painted material treatment and measured placement,1696,True,MI_LoungeTable
Assets/80s_Office/Prefabs/Furniture/LoungeTable2.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2920,True,MI_Solid; MI_Wood
Assets/80s_Office/Prefabs/Furniture/OfficeChair.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",9622,True,MI_ChairOffice
Assets/80s_Office/Prefabs/Furniture/OfficeChair_Simple.prefab,Selected,Waiting area; use shared painted material treatment and measured placement,4816,True,MI_ChairSimple
Assets/80s_Office/Prefabs/Furniture/OfficeCupboard.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2336,True,MI_BookShelf; MI_Wood_DarkBrown
Assets/80s_Office/Prefabs/Furniture/OfficeCupboardTall.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2382,True,MI_BookShelf
Assets/80s_Office/Prefabs/Furniture/Sofa.prefab,Selected,Waiting area; use shared painted material treatment and measured placement,1868,True,MI_Sofa
Assets/80s_Office/Prefabs/Furniture/Sofa_Chair.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",1992,True,MI_Sofa
Assets/80s_Office/Prefabs/Furniture/Sofa_Large.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",3624,True,MI_Sofa
Assets/80s_Office/Prefabs/Furniture/Sofa_Pillow.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",336,True,MI_Sofa
Assets/80s_Office/Prefabs/Furniture/Sofa_Pillow_Curved.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",336,True,MI_Sofa
Assets/80s_Office/Prefabs/Furniture/Table_Boss.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",1752,True,MI_WorkTable
Assets/80s_Office/Prefabs/Furniture/Table_Conference.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",984,True,MI_WorkTable
Assets/80s_Office/Prefabs/Furniture/Table_Office.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",1746,True,MI_WorkTable
Assets/80s_Office/Prefabs/Furniture/Table_Reception.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",190,True,MI_WorkTable
Assets/80s_Office/Prefabs/Furniture/Whiteboard_Tripod.prefab,Selected,Waiting area; use shared painted material treatment and measured placement,388,True,MI_Tripod
Assets/80s_Office/Prefabs/Label.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,2,True,MI_Data
Assets/80s_Office/Prefabs/Lamps/Lamp_Ceiling_Round.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,596,True,MI_Emissive; MI_Steel
Assets/80s_Office/Prefabs/Lamps/Lamp_Desk.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2776,True,MI_LampDesk
Assets/80s_Office/Prefabs/Lamps/Lamp_Standing.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",3710,True,MI_LampStanding
Assets/80s_Office/Prefabs/Lamps/Lamp_Standing_Curved.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",4294,True,MI_LampStanding
Assets/80s_Office/Prefabs/Lamps/Lamp_Wall_Cube.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",398,True,PlaceHolder_PlasticFrame_Dark
Assets/80s_Office/Prefabs/Plants/Plant_1.prefab,Selected,Waiting area; use shared painted material treatment and measured placement,1812,True,MI_OfficePlant1; MI_Pots; MI_soil
Assets/80s_Office/Prefabs/Plants/Plant_2.prefab,Selected,Administration; use shared painted material treatment and measured placement,2539,True,MI_OfficePlant2; MI_Pots; MI_soil
Assets/80s_Office/Prefabs/Plants/PotA.prefab,Selected,Clerk desk; use shared painted material treatment and measured placement,1812,True,MI_OfficePlant1; MI_Pots; MI_soil
Assets/80s_Office/Prefabs/Plants/PotB.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2027,True,MI_OfficePlant2; MI_Pots; MI_soil
Assets/80s_Office/Prefabs/Plants/PotC.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",3962,True,MI_OfficePlant1; MI_Pots; MI_soil
Assets/80s_Office/Prefabs/Setpiece/OfficeTableGroup.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,103588,True,MI_ChairOffice; MI_Computer; MI_ComputerScreen; MI_Keyboard; MI_LampDesk; MI_WorkTable; PlaceHolder_PlasticFrame_Dark; PlaceHolder_Wire_Aged
Assets/80s_Office/Prefabs/Setpiece/Serveroom.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,572769,True,MI_Carpet; MI_Ceilings; MI_DoorParts; MI_Emissive; MI_EmmisiveButtons; MI_Glass_Dark; MI_KeyLock; MI_OfficePlant1; MI_Pots; MI_Server; MI_Sockets; MI_soil; MI_Steel; MI_Wallclock; MI_Walls; MI_Wood; MM_Glass; PlaceHolder_PlasticFrame_Dark; PlaceHolder_PlasticFrame_Light
Assets/80s_Office/Prefabs/Stairs/Stair.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,912,True,MI_Concrete; MI_Steel; MI_Wood
Assets/80s_Office/Prefabs/Stairs/Stair_End.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,144,True,MI_Concrete; MI_Wood
Assets/80s_Office/Prefabs/Stairs/Stair_Start.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,144,True,MI_Concrete; MI_Wood
Assets/80s_Office/Prefabs/Switches/Socket_A.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",510,True,MI_Sockets
Assets/80s_Office/Prefabs/Switches/Socket_B.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",452,True,MI_Sockets
Assets/80s_Office/Prefabs/Switches/Switch_A.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",266,True,MI_Sockets
Assets/80s_Office/Prefabs/Switches/Switch_A_Tripple.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",676,True,MI_Sockets
Assets/80s_Office/Prefabs/Switches/Switch_B.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",190,True,MI_Sockets
Assets/80s_Office/Prefabs/Switches/Switch_C.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",586,True,MI_Sockets
Assets/80s_Office/Prefabs/TableProps/Book.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,230,True,MI_Decals_Advice; PlaceHolder_BookCover; PlaceHolder_Paper
Assets/80s_Office/Prefabs/TableProps/Eraser_A.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",44,True,PlaceHolder_Eraser
Assets/80s_Office/Prefabs/TableProps/Eraser_B.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",128,True,MI_StapleBox; PlaceHolder_Eraser
Assets/80s_Office/Prefabs/TableProps/Journal.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,84,True,MI_Journal_Artsy
Assets/80s_Office/Prefabs/TableProps/Mug.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",1344,True,MI_CoffeeMug
Assets/80s_Office/Prefabs/TableProps/NewtonsCradle.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",1580,True,PlaceHolder; PlaceHolder_Chrome
Assets/80s_Office/Prefabs/TableProps/OfficeKeys.prefab,Selected,Clerk desk; use shared painted material treatment and measured placement,1972,True,MI_Steel
Assets/80s_Office/Prefabs/TableProps/PaperPile.prefab,Selected,Waiting area; use shared painted material treatment and measured placement,104,True,PlaceHolder_Paper
Assets/80s_Office/Prefabs/TableProps/PaperSheet.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",60,True,PlaceHolder_Paper
Assets/80s_Office/Prefabs/TableProps/Pen.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",382,True,PlaceHolder_Chrome; PlaceHolder_Pen
Assets/80s_Office/Prefabs/TableProps/Pencil_A.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",94,True,MI_Pencil; PlaceHolder_Graphite
Assets/80s_Office/Prefabs/TableProps/Pencil_B.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",360,True,MI_Pencil; PlaceHolder_Chrome; PlaceHolder_Eraser; PlaceHolder_Graphite
Assets/80s_Office/Prefabs/TableProps/PenHolder.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2598,True,MI_Pencil; PlaceHolder_Chrome; PlaceHolder_Eraser; PlaceHolder_Graphite; PlaceHolder_Pen
Assets/80s_Office/Prefabs/TableProps/Stapler.prefab,Selected,Clerk desk; use shared painted material treatment and measured placement,1030,True,PlaceHolder; PlaceHolder_Chrome
Assets/80s_Office/Prefabs/TableProps/StaplerBox_Closed.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",298,True,MI_StapleBox
Assets/80s_Office/Prefabs/TableProps/StaplerBox_Open.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",472,True,MI_StapleBox
Assets/80s_Office/Prefabs/Tile.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2,True,MI_Carpet
Assets/80s_Office/Prefabs/Utilities/Utilities_Bucket.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",620,True,MI_Props
Assets/80s_Office/Prefabs/Utilities/Utilities_Trashcan.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",232,True,MI_Props
Assets/80s_Office/Prefabs/Utilities/Utilities_WetFloor.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",244,True,MI_Props
Assets/80s_Office/Prefabs/WallGreebles/FireAlarm_A.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",1762,True,MI_Emissive; MI_FireAlarm
Assets/80s_Office/Prefabs/WallGreebles/FireAlarm_B.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",660,True,MI_FireAlarm
Assets/80s_Office/Prefabs/WallGreebles/FireExtinguisher.prefab,Selected,Portal service; use shared painted material treatment and measured placement,2302,True,MI_FireExtinguisher
Assets/80s_Office/Prefabs/WallGreebles/Logo.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,5380,True,MI_Wood_DarkBrown
Assets/80s_Office/Prefabs/WallGreebles/Mirror.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",12,True,Mirror
Assets/80s_Office/Prefabs/WallGreebles/Socket_A.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",510,True,MI_Sockets
Assets/80s_Office/Prefabs/WallGreebles/Socket_B.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",452,True,MI_Sockets
Assets/80s_Office/Prefabs/WallGreebles/Speaker.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",112,True,MI_Sockets
Assets/80s_Office/Prefabs/WallGreebles/Surveilence.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",1188,True,MI_Sockets; PlaceHolder_PlasticFrame_Lense
Assets/80s_Office/Prefabs/WallGreebles/Whiteboard_Wall.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",264,True,MI_Wood_White
Assets/80s_Office/Prefabs/Walls/Border_1m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,56,True,MI_Concrete; MI_Wood
Assets/80s_Office/Prefabs/Walls/Border_3m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,392,True,MI_Concrete; MI_Steel; MI_Wood
Assets/80s_Office/Prefabs/Walls/Border_Cap.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,72,True,MI_Concrete; MI_Wood
Assets/80s_Office/Prefabs/Walls/Border_Corner_Inner.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,568,True,MI_Concrete; MI_Steel; MI_Wood
Assets/80s_Office/Prefabs/Walls/Border_Corner_Outer.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,502,True,MI_Concrete; MI_Steel; MI_Wood
Assets/80s_Office/Prefabs/Walls/Ceiling_Grid.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,104,True,MI_Emissive; PlaceHolder_PlasticFrame_Dark
Assets/80s_Office/Prefabs/Walls/Ceiling_Hole.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,1282,True,MI_EmissiveWarm; PlaceHolder_PlasticFrame_Light
Assets/80s_Office/Prefabs/Walls/Ceiling_HoleRandom.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,1154,True,MI_Emissive; PlaceHolder_PlasticFrame_Dark
Assets/80s_Office/Prefabs/Walls/Ceiling_Lights.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,1116,True,MI_Ceilings; MI_Lamp_Ceiling
Assets/80s_Office/Prefabs/Walls/Ceiling_Lights_Round.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,596,True,MI_Emissive; MI_Steel
Assets/80s_Office/Prefabs/Walls/Ceiling_Pyramid.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,296,True,MI_Emissive; MI_Walls
Assets/80s_Office/Prefabs/Walls/Ceiling_Vents.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,194,True,MI_Ceilings; PlaceHolder_PlasticFrame_Light
Assets/80s_Office/Prefabs/Walls/Ceiling_Waffle.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,1442,True,PlaceHolder_PlasticFrame_Light
Assets/80s_Office/Prefabs/Walls/Column.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",66,True,MI_Walls; MI_Walls_Col2
Assets/80s_Office/Prefabs/Walls/CubicleWall.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",124,True,MI_Cubicles
Assets/80s_Office/Prefabs/Walls/CubicleWall_L.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",256,True,MI_Cubicles
Assets/80s_Office/Prefabs/Walls/CubicleWall_T.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",388,True,MI_Cubicles
Assets/80s_Office/Prefabs/Walls/GlassWall.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,272,True,MI_Glass_Dark; MI_Steel
Assets/80s_Office/Prefabs/Walls/GlassWall_Door.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,1596,True,MI_DoorParts; MI_Glass_Dark; MI_Steel
Assets/80s_Office/Prefabs/Walls/GlassWall_Door_Double.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,1674,True,MI_DoorParts; MI_Glass_Dark; MI_Steel
Assets/80s_Office/Prefabs/Walls/GlassWall_DoorFrame.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,484,True,MI_Glass_Dark; MI_Steel
Assets/80s_Office/Prefabs/Walls/GlassWall_DoorFrame_Large.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,484,True,MI_Glass_Dark; MI_Steel
Assets/80s_Office/Prefabs/Walls/Vent_Circular.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",1644,True,MI_Sockets
Assets/80s_Office/Prefabs/Walls/Vent_Rect.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",676,True,MI_Sockets
Assets/80s_Office/Prefabs/Walls/Vent_Square.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",398,True,MI_Sockets
Assets/80s_Office/Prefabs/Walls/Wall_1m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,42,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_1m_Cap.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,38,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_1m_Corner.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,69,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_1m_Corner_Inner.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,68,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_2m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,42,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_2m_Corner.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,69,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_2m_Corner_Inner.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,68,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_30cm.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,72,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_3m.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,42,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_3m_Angled.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,42,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_3m_Corner.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,70,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_3m_Corner_Inner.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,68,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_3m_Door.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,100,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_3m_Door_Large.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,100,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_3m_Extrusion.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,74,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_3m_Window.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,62,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_3m_WindowSmall.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,82,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_Divider.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,10,True,MI_Steel
Assets/80s_Office/Prefabs/Walls/Wall_Half.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,42,True,MI_Walls; MI_Wood
Assets/80s_Office/Prefabs/Walls/Wall_WC.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,250,True,MI_Steel; MI_Walls
Assets/80s_Office/Prefabs/WC/Toilet.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,5524,True,MI_Toilet
Assets/80s_Office/Prefabs/WC/Toilet_Sink.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,4709,True,MI_Sink
Assets/80s_Office/Prefabs/WC/Toilet_Urinal.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,2612,True,MI_Urinal
Assets/80s_Office/Prefabs/WC/ToiletPaperHolder.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,1154,True,MI_ToiletPaperHolder
Assets/80s_Office/Prefabs/Windows/Window_Small.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,280,True,MI_Steel; MI_Walls; MI_Wood; PlaceHolder_PlasticFrame_Light
Assets/80s_Office/Prefabs/Windows/Windows_Blinds_Horizontal.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,722,True,MI_Steel; MI_Walls; MI_Wood; PlaceHolder_PlasticFrame_Light
Assets/80s_Office/Prefabs/Windows/Windows_Blinds_Vertical.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,4438,True,MI_Steel; MI_Walls; MI_Wood; PlaceHolder_PlasticFrame; PlaceHolder_PlasticFrame_Light
